"Product Name","Price","Unity","Location","Time","Store Name"
"MSI MPG VELOX 100R","24 900","DA","Tizi ouzou, 15","il y a environ 5 heures","Tizainformatique"
"ARMOIRE DE BRASSAGE 4U,6U,9U,12U,15U,18U","","","Reghaia, 16","il y a environ 5 heures","Cortel-audio-visuel-sonorisation"
"Routeur Gigabit WiFi 6 - AX1500 Bi-bande","","","Blida, 9","il y a environ 5 heures","MacWay Informatique"
"Borne Interactive (Tactile) En Acier 32 POUCES","","","Mohammadia, 16","il y a environ 12 heures",""
"Imprimantes thermiques","","","El khroub, 25","il y a environ 12 heures",""
"Scanner EPSON WorkForce DS-1630+ CHARGEUR","","","Blida, 9","il y a environ 5 heures","MacWay Informatique"
"ECRAN 27"" MATOS MAGMA","54 500","DA","Dely brahim, 16","il y a environ 5 heures","PC Station dely brahim"
"Dell PowerEdge T150 -  Serveur MT - Xeon E-2314 - 16 Go - HDD 2 x 1 To","350 000","DA","Hussein dey, 16","il y a environ 5 heures","ADMIN Informatique"
"ALIMENTATION MSI MAG A650BNL 650W - 80 PLUS BRONZE - NOIR","12 000","DA","Hussein dey, 16","il y a environ 5 heures","ADMIN Informatique"
"XPRINTER XP-S260M IMPRIMANTE TICKET DE CAISSE  USB RJ45 RS232","16 900","DA","Hussein dey, 16","il y a environ 5 heures","ADMIN Informatique"
"Câble Fibre Optique LC/ST et LC/LC 10 Mètres","1 500","DA","El affroun, 9","il y a environ 13 heures",""
"Big Promo # télévision LG 65 / 75 pouces smart","155 000","DA","Bir mourad rais, 16","il y a environ 13 heures",""
